Game_ID,Date,Opponent,Player_Presence,PTS,REB,AST,STL,BLK,FGM,FGA,FGPCT,3PM,3PA,3PCT,WIN,PTS_ALLOWED
1,2024-11-10,Timberwolves,0,95,43,18,14,9,34,77,44.2,11,31,35.5,1,94
2,2024-11-12,Pistons,0,121,43,25,14,3,47,101,46.5,17,45,37.8,0,123
3,2024-11-15,Pacers,0,124,36,27,16,1,45,87,51.7,15,42,35.7,1,111
4,2024-11-17,Pacers,0,110,38,21,4,1,36,90,40.0,19,43,44.2,0,119
5,2024-12-02,Celtics,0,89,44,24,6,1,31,87,35.6,8,35,22.9,0,108
6,2024-11-26,Bucks,1,103,38,26,6,2,35,77,45.5,10,29,34.5,0,106
7,2024-11-27,Hornets,1,98,44,21,6,5,33,73,45.2,14,37,37.8,1,94
8,2024-11-29,Raptors,1,121,33,32,10,0,43,94,45.7,21,54,38.9,1,111
9,2024-12-01,Raptors,1,116,45,25,11,4,39,88,44.3,15,40,37.5,0,119
10,2024-12-04,Lakers,1,134,52,42,11,5,52,90,57.8,24,47,51.1,1,93
